,Corridor,Name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
82,4,HALTE BABUSSALAM 1 (Depan Masjid As Syifa),"5.546598, 95.362810",1,4,0,5,1,7,3,1,5,0
83,4,HALTE BABUSSALAM 2 (Lewat Masjid As Syifa),"5.544462, 95.365203",0,0,0,1,0,0,2,0,4,1
84,4,HALTE ABULYATAMA 1,"5.531089, 95.387730",0,8,0,3,0,0,4,0,4,0
85,4,HALTE ABULYATAMA 2 (Depan Pasantren Baitussabri),"5.530865, 95.388305",0,8,0,3,0,0,4,0,5,0
86,4,HALTE LAM ATEUK 1 (Lewat Dayah Lam Ateuk),"5.532918, 95.393197",0,2,0,1,0,0,5,0,2,0
87,4,HALTE LAM ATEUK 2 (Smpng Dayah Lam Ateuk),"5.531700, 95.391097",0,8,0,2,0,0,5,0,4,0
88,4,HALTE BUENG CALA 1 (Depan SD Bueng Cala),"5.528145, 95.407072",0,1,0,0,0,0,2,0,0,0
89,4,HALTE BUENG CALA 2 (Depan Komplek Rumah Perhubungan),"5.526318, 95.401094",0,0,0,0,0,0,1,0,1,0
90,4,HALTE BLANG BINTANG 1,"5.525412, 95.414448",0,0,0,7,0,0,5,0,0,0
91,4,HALTE BLANG BINTANG 2,"5.525502, 95.414161",0,0,0,7,0,0,5,0,0,0
